gap_id,lane,description,status
chemokine_expansion_1,chemokine_expansion,"{""description"":""Eosinophil CCR3 blockade does not establish exclusive receptor use. Garcia-Zepeda1996 CCR2/CCR3 and Stellato1997 CCR2 transfectant candidates await host-specific full-text extraction."",""entity"":""CCL13"",""status"":""receptor_redundancy_gap""}",open
chemokine_expansion_2,chemokine_expansion,"{""description"":""Historical Taub1993 activation and Taub1995 purification assertions remain provisional because complete methods are unrecovered. New independent ScalleyKim2012 human-PBMC CCL3/4 protein measurements close reviewed ligand coverage, but do not replace those migration or preparation propositions."",""entity"":""CCL3; CCL4"",""status"":""preparation_context_gap""}",open
chemokine_expansion_3,chemokine_expansion,"{""description"":""Most selected methods recovered through Chrome or primary PDF. Historical Taub1993/1995 methods remain unrecovered. Schall1993 PDF rendered in Chrome but article text was not inspected; native-app CUA call with30-second timeout stalled and was interrupted after485 seconds. No assertion was upgraded from a failed or uninspected retrieval."",""entity"":""all"",""status"":""bounded_access""}",open
chemokine_expansion_4,chemokine_expansion,"{""description"":""Donor counts, ancestry, repeated-donor overlap and experimental precision were incompletely accessible. All cohort independence statuses remain unresolved; cell-line repeats are not donor replication."",""entity"":""all"",""status"":""independence_unresolved""}",open
chemokine_expansion_5,chemokine_expansion,"{""description"":""Primary human receptor-sensitive BAL T-cell migration and macrophage protein localization now extracted. Conditioned-medium300-19 cell-line bioassays show incomplete CXCL10 neutralization46–79%; no exclusive CXCL10 source-to-human-recipient route is claimed. Loetscher1996 primary PBL migration and fresh-preparation contrast now have full methods. No primary-cell receptor blockade or numerical affinity is inferred from its transfectants or failed binding assay."",""entity"":""CXCL10"",""status"":""remaining_bridge_gap""}",open
chemokine_expansion_6,chemokine_expansion,"{""description"":""Primary cultured-human Th2 calcium responses now extracted separately from Hut78 chemotaxis. Exact chronic Th2 culture recipe referenced by calcium Methods remains unavailable, and transfectant receptor-blockade experiments are not relabeled primary human chemotaxis."",""entity"":""CCL17"",""status"":""calcium_context_resolved_migration_gap""}",open
chemokine_expansion_7,chemokine_expansion,"{""description"":""Human macrophage CCL22 and mixed-PBMC CCL3/CCL4 extracellular protein now directly measured. CCL3/4 producing subsets and induction relative to unstimulated culture remain unresolved; other assigned ligands lack extracted secretion assays."",""entity"":""CCL22 and other chemokines"",""status"":""partial_source_secretion_coverage""}",open
chemokine_expansion_8,chemokine_expansion,"{""description"":""Full methods now recovered. Late antibody-insensitive migration could involve another receptor or an unantagonized CCR3 conformation. No equivalence or proof of receptor independence; study30/8 recruitment differs from per-panel experiments."",""entity"":""CCL26"",""status"":""mechanism_unresolved_after_full_methods""}",open
chemokine_expansion_9,chemokine_expansion,"{""description"":""Schall1993 PMID7684437 and eLife2020 PMC7669268 remain screened alternatives. Schall primary PDF is accessible in Chrome, but no complete method extraction was made; no assay assertion imported."",""entity"":""CCL3; CCL4"",""status"":""alternate_migration_candidate_uninspected""}",open
cytokine_1,cytokine,"{""followup"":{""evidence"":""research/cytokine_expansion/pack.json; research/chemokine_expansion/pack.json; research/receptor_expansion/pack.json; assay_coverage.csv"",""resolution"":""The expansion adds reviewed human-response evidence for CSF2, IL16, IL17A, IL5, IL13, IL1A, IL2, IL6 and multiple chemokines; explicit LTA complexes, VEGFA165 and IL12p70 are separately identified. Original assay identities and comprehensive source-to-target coverage remain unresolved."",""status"":""partially_resolved""},""original_gap"":{""detail"":""Bounded pilot, not an exhaustive systematic review. Many priority cytokines have no narrow extracted human assertions: CSF2, IL16, IL17A, IL5, IL7, LTA, VEGF identity, IL13, IL1A, IL2, IL6, CCL11, CCL26, CCL13, CCL22, CCL3, CCL4, CCL17. Anchor inclusion does not certify coverage."",""gap_id"":""C-GAP01"",""topic"":""Coverage""}}",partially_resolved
