gap_id,lane,description,status,payload
MA-G01,activation,Direct chromatin→specific RNA→secreted protein/function chain after AP-1 mediation remains absent; no serial pathway is materialized.,,"{""description"":""Direct chromatin→specific RNA→secreted protein/function chain after AP-1 mediation remains absent; no serial pathway is materialized."",""gap_id"":""MA-G01"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MA-G02,activation,STAT5 phosphorylation→FOXP3→Treg suppression requires matched intermediate perturbation/rescue with human functional endpoints.,,"{""description"":""STAT5 phosphorylation→FOXP3→Treg suppression requires matched intermediate perturbation/rescue with human functional endpoints."",""gap_id"":""MA-G02"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MA-G03,activation,Recent2025 RBPJ/HDAC3 study: public figures and analytical supplement accessible; main wet-lab Methods/Results inaccessible on attempted primary/public routes. Retain needs_full_text.,,"{""description"":""Recent2025 RBPJ/HDAC3 study: public figures and analytical supplement accessible; main wet-lab Methods/Results inaccessible on attempted primary/public routes. Retain needs_full_text."",""gap_id"":""MA-G03"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MA-G04,activation,"Full TCR-proximal LCK/ZAP70/LAT/calcium causal extraction, tissue-resident contexts, receptor dose titration and matched donor kinetics remain to be screened.",,"{""description"":""Full TCR-proximal LCK/ZAP70/LAT/calcium causal extraction, tissue-resident contexts, receptor dose titration and matched donor kinetics remain to be screened."",""gap_id"":""MA-G04"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MA-G05,activation,"Ancestry, age/sex, genotype, exact cross-figure donor linkage and measurement calibration often unavailable. Do not assume transport or replicate independence.",,"{""description"":""Ancestry, age/sex, genotype, exact cross-figure donor linkage and measurement calibration often unavailable. Do not assume transport or replicate independence."",""gap_id"":""MA-G05"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MA-G06,activation,Independent scientific review and human adjudication intentionally pending user trigger; no numerical priors or release approval.,,"{""description"":""Independent scientific review and human adjudication intentionally pending user trigger; no numerical priors or release approval."",""gap_id"":""MA-G06"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json""}"
MG-GAP01,genetic,Need isoform-specific protein measurement or selective splice-product manipulation with downstream protein readout in the same primary CD4 preparation. Current sh5 discordance and shared-epitope ELISA block serial transition.,blocked_missing_evidence,"{""description"":""Need isoform-specific protein measurement or selective splice-product manipulation with downstream protein readout in the same primary CD4 preparation. Current sh5 discordance and shared-epitope ELISA block serial transition."",""gap_id"":""MG-GAP01"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""blocked_missing_evidence"",""subject"":""IL7R exon6 skipped transcript to soluble protein""}"
MG-GAP02,genetic,"HeLa luciferase reporter is not endogenous DDX39B. Native allele editing with DDX39B protein, IL7R isoform RNA and isoform-specific protein in compatible primary cells needed.",blocked_missing_evidence,"{""description"":""HeLa luciferase reporter is not endogenous DDX39B. Native allele editing with DDX39B protein, IL7R isoform RNA and isoform-specific protein in compatible primary cells needed."",""gap_id"":""MG-GAP02"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""blocked_missing_evidence"",""subject"":""native rs2523506 in primary immune cells""}"
MG-GAP03,genetic,Whole-blood PAXgene versus PBMC Trizol provenance must be resolved per individual in n86 panel; old record unchanged.,extracted_pending_review,"{""description"":""Whole-blood PAXgene versus PBMC Trizol provenance must be resolved per individual in n86 panel; old record unchanged."",""gap_id"":""MG-GAP03"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""extracted_pending_review"",""subject"":""G03 blood preparation""}"
MG-GAP04,genetic,"2024 enhancer screen measures RNA only for these candidates. Recover exact enhancer genomic coordinates, guides, source-data values and donor counts before fine-grained variant-to-protein path.",blocked_missing_evidence,"{""description"":""2024 enhancer screen measures RNA only for these candidates. Recover exact enhancer genomic coordinates, guides, source-data values and donor counts before fine-grained variant-to-protein path."",""gap_id"":""MG-GAP04"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""blocked_missing_evidence"",""subject"":""regulatory element to TRAF1/CD3D protein and function""}"
MG-GAP05,genetic,"Same promoter intervention affects both endpoints; correlation supports a branch. No transcript-specific rescue, translation/trafficking test, or measured RNA-first ordering establishes serial mediation.",blocked_missing_evidence,"{""description"":""Same promoter intervention affects both endpoints; correlation supports a branch. No transcript-specific rescue, translation/trafficking test, or measured RNA-first ordering establishes serial mediation."",""gap_id"":""MG-GAP05"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""blocked_missing_evidence"",""subject"":""CD81 transcript-to-surface transition""}"
MG-GAP06,genetic,"Source-access gap resolved by complete primary PMC HTML recovered through parent approved curl. Four narrow enhancer/ETS2 perturbation assertions extracted. Full allele-specific mechanism, native ETS2 protein bridge, rescue and remaining experiments await detailed extraction.",extracted_pending_review,"{""access_status"":""resolved"",""description"":""Source-access gap resolved by complete primary PMC HTML recovered through parent approved curl. Four narrow enhancer/ETS2 perturbation assertions extracted. Full allele-specific mechanism, native ETS2 protein bridge, rescue and remaining experiments await detailed extraction."",""extraction_status"":""bounded_partial_extraction_complete"",""gap_id"":""MG-GAP06"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""extracted_pending_review"",""subject"":""ETS2 macrophage locus""}"
MG-GAP07,genetic,No matching correction notice found in bounded queries or G03 PubMed Erratum/Retraction find and MG04 publisher Correction find. Structured Entrez relationships unavailable; G08/G10 PubMed returned zero text. This is not proof no corrections exist.,needs_full_text,"{""description"":""No matching correction notice found in bounded queries or G03 PubMed Erratum/Retraction find and MG04 publisher Correction find. Structured Entrez relationships unavailable; G08/G10 PubMed returned zero text. This is not proof no corrections exist."",""gap_id"":""MG-GAP07"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""needs_full_text"",""subject"":""correction/retraction and cohort reuse""}"
MG-GAP08,genetic,"Sequencing Methods specify fresh cells10 days after guide transduction and frozen same-experiment cells with3-day recovery, whereas preceding culture Methods describe48h +4 days selection +6 days further culture. Do not silently harmonize arithmetic or infer unique biological donors.",extracted_pending_review,"{""description"":""Sequencing Methods specify fresh cells10 days after guide transduction and frozen same-experiment cells with3-day recovery, whereas preceding culture Methods describe48h +4 days selection +6 days further culture. Do not silently harmonize arithmetic or infer unique biological donors."",""gap_id"":""MG-GAP08"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""status"":""extracted_pending_review"",""subject"":""2024 primary T-cell screen timing""}"
MP_G001,antigen,Surface HLA abundance does not quantify a specific peptide-HLA complex; no selective surface-HLA mediation test between B2M replacement and human CTL lysis in S001.,,"{""description"":""Surface HLA abundance does not quantify a specific peptide-HLA complex; no selective surface-HLA mediation test between B2M replacement and human CTL lysis in S001."",""gap_id"":""MP_G001"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G002,antigen,TAP2 sequence-to-aberrant RNA observation lacks measured mutant TAP2 protein. HLA rescue and residual CTL experiments use different intervention states.,,"{""description"":""TAP2 sequence-to-aberrant RNA observation lacks measured mutant TAP2 protein. HLA rescue and residual CTL experiments use different intervention states."",""gap_id"":""MP_G002"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G003,antigen,"CIITA RNA, protein isoforms and surface HLA-DR measured in separate experiments with donor overlap unavailable; no antigen-specific human CD4 endpoint.",,"{""description"":""CIITA RNA, protein isoforms and surface HLA-DR measured in separate experiments with donor overlap unavailable; no antigen-specific human CD4 endpoint."",""gap_id"":""MP_G003"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G004,antigen,ERAP1 biochemical digestion does not determine exact 8mer versus 9mer surface product or direct transfer into the reporter assay. Mouse recipient assays cannot establish human primary-CD8 function.,,"{""description"":""ERAP1 biochemical digestion does not determine exact 8mer versus 9mer surface product or direct transfer into the reporter assay. Mouse recipient assays cannot establish human primary-CD8 function."",""gap_id"":""MP_G004"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G005,antigen,He2025 depletion/add-back bulk proliferation and CD8 CFSE assays have different cohort sizes with unresolved individual overlap. Antigen specificity of the primary-human proliferation endpoint is unmeasured.,,"{""description"":""He2025 depletion/add-back bulk proliferation and CD8 CFSE assays have different cohort sizes with unresolved individual overlap. Antigen specificity of the primary-human proliferation endpoint is unmeasured."",""gap_id"":""MP_G005"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G006,antigen,He2025 Methods HG00131/HG00313 and Results 1%-FDR versus filename FDR_0.1 are unresolved. W6/32 pan-HLA immunoprecipitation plus prediction must not be labeled direct HLA-C*06:02 ligand isolation.,,"{""description"":""He2025 Methods HG00131/HG00313 and Results 1%-FDR versus filename FDR_0.1 are unresolved. W6/32 pan-HLA immunoprecipitation plus prediction must not be labeled direct HLA-C*06:02 ligand isolation."",""gap_id"":""MP_G006"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
MP_G007,antigen,No independent or human review yet. Ranked web retrieval does not provide exhaustive recall; corrections/retractions may be missed. Modern effectors/autologous B2M rescue and additional primary human APC variant studies remain follow-up priorities.,,"{""description"":""No independent or human review yet. Ranked web retrieval does not provide exhaustive recall; corrections/retractions may be missed. Modern effectors/autologous B2M rescue and additional primary human APC variant studies remain follow-up priorities."",""gap_id"":""MP_G007"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json""}"
