source_id,title,authors,year,url,doi,pmid,source_type,version,retrieved_at,access_level,snapshot_path,snapshot_sha256,species,notes,ingestion_status,duplicate_of
C-S01,Dictionary of immune responses to cytokines at single-cell resolution,"[""Ang Cui"",""Teddy Huang"",""Shuqiang Li"",""Aileen Ma"",""Jorge L. Pérez"",""Chris Sander"",""Derin B. Keskin"",""Catherine J. Wu"",""Ernest Fraenkel"",""Nir Hacohen""]",2024,https://www.nature.com/articles/s41586-023-06816-9,10.1038/s41586-023-06816-9,38057668,primary_study,Online 2023-12-06; Nature 625 (2024); PMC10781646.1,2026-09-12,full_text,research/cytokine/snapshots/PMC10781646.xml,cdeefd81ddec026ccc32292d2ff428312e9331187217f2baf95b73386227a133,Mus musculus,"Mouse in-vivo atlas. Human applications are inferred transport, not human perturbation replication.",extracted,unavailable
C-S02,A single-cell cytokine dictionary of human peripheral blood,Lukas Oesinghaus et al.,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12724453/,10.64898/2025.12.12.693897,unavailable,preprint,"bioRxiv v1, 2025-12-15",2026-09-12,full_text_sections_via_web_tool,research/cytokine/snapshots/open1.json,3b52b42ebbe3ef495120b4daa7d388bf60f5fb0fb8a27b60edfaf0016d7c9263,Homo sapiens,"bioRxiv API snapshot hcd_biorxiv_api.json: version 1, published=NA. Same 12-donor experiment as C-S09. Primary retrieved bioRxiv text includes Fig.1 results; Research Square mirror full text separately retained.",extracted,unavailable
C-S03,Systematic investigation of cytokine signaling activity at the tissue and single-cell levels,Peng Jiang et al.,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493809/,10.1038/s41592-021-01274-5,unavailable,resource,"Nature Methods 18, 1181–1191 (2021); author manuscript PMC8493809",2026-09-12,full_text_sections_via_web_tool,research/cytokine/snapshots/open6.json,8d198a3c0e20035dc2ee4945dc7d7e9b581c7f54264b674b9f13620187e8706f,"[""Homo sapiens"",""Mus musculus""]","CytoSig signatures are computational estimates. Extracted wet-lab validation concerns human A549 cancer cells; exclude mouse validation and pooled 20,591 profiles from independent human cohort counts.",extracted,unavailable
C-S04,Interleukin 10(IL-10) inhibits cytokine synthesis by human monocytes: an autoregulatory role of IL-10 produced by monocytes,"[""R de Waal Malefyt"",""J Abrams"",""B Bennett"",""C G Figdor"",""J E de Vries""]",1991,https://pubmed.ncbi.nlm.nih.gov/1940799/,10.1084/jem.174.5.1209,1940799,primary_study,J Exp Med 174(5):1209–1220; PMC2119001.1,2026-09-12,full_text_OCR,research/cytokine/snapshots/PMC2119001.xml,75a1f66ee0b4bcc5761557e1dc4fe4805791b7022f585d5d67e9e7d97aa30e61,Homo sapiens,Full article supplied as OCR preformatted text in XML; abstract cross-checked. Exact OCR numeric table values not used as estimates.,extracted,unavailable
C-S05,Activated signal transducer and activator of transcription-3 (STAT3) is a poor regulator of tumour necrosis factor-α production by human monocytes,"[""C M Prêle"",""A L Keith-Magee"",""M Murcha"",""P H Hart""]",2007,https://pmc.ncbi.nlm.nih.gov/articles/PMC1810496/,10.1111/j.1365-2249.2006.03291.x,17302908,primary_study,Clin Exp Immunol 147(3):564–572; PMC1810496.1,2026-09-12,abstract_metadata,research/cytokine/snapshots/PMC1810496.xml,f7993bdc507d40185cee9d442f80352c9cf6acf3699627962bf8f4a6d3cbb661,Homo sapiens,NCBI XML contains front matter and abstract only; web full-text access returned CAPTCHA. Search excerpts do not replace full-text review.,extracted,unavailable
C-S06,Transpresentation of interleukin-15 by IL-15/IL-15Rα mRNA-engineered human dendritic cells boosts antitumoral natural killer cell activity,Johan Van den Bergh et al.,2015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4792546/,10.18632/oncotarget.6536,26675759,primary_study,"Oncotarget 6(42):44123–44133, 2015-12-09",2026-09-12,full_text_sections_via_web_tool,research/cytokine/snapshots/open2.json,f9514d5acc67bcd4c065709c3ad0da971699e1c268100b3b55be3cd1abd6dcc0,Homo sapiens,"Full-text methods and metadata also in metadata.json. Healthy-donor experiments extracted; AML remission validation is registered separately and not pooled. IFNG method is intracellular staining, despite abstract secretion wording.",extracted,unavailable
C-S07,Distinct roles of IL-12 and IL-15 in human natural killer cell activation by dendritic cells from secondary lymphoid organs,"[""Guido Ferlazzo"",""Maggi Pack"",""Dolca Thomas"",""Casper Paludan"",""Dorothee Schmid"",""Till Strowig"",""Gwenola Bougras"",""William A. Muller"",""Lorenzo Moretta"",""Christian Münz""]",2004,https://pmc.ncbi.nlm.nih.gov/articles/PMC534504/,10.1073/pnas.0407522101,15536127,primary_study,PNAS 101(47):16606–16611; PMC534504.1,2026-09-12,abstract_plus_search_excerpts,research/cytokine/snapshots/PMC534504.xml,623342701f7a90e76c163651a779d90bf9dd59131a7992b334fb89fdb11574cb,Homo sapiens,"NCBI XML contains abstract only. Detailed Fig.4/5 excerpts retained in search3.json, still flagged for full-text review.",extracted,unavailable
C-S08,Residual Type 1 Immunity in Patients Genetically Deficient for Interleukin 12 Receptor β1 (IL-12Rβ1): Evidence for an IL-12Rβ1–Independent Pathway of IL-12 Responsiveness in Human T Cells,"[""Claudia E. Verhagen"",""Tjitske de Boer"",""Hermelijn H. Smits"",""Frank A.W. Verreck"",""Eddy A. Wierenga"",""M. Kurimoto"",""D. Anthony Lammas"",""Dinakanthe S. Kumararatne"",""Ozden Sanal"",""Frank P. Kroon"",""Jaap T. van Dissel"",""Francesco Sinigaglia"",""Tom H.M. Ottenhoff""]",2000,https://pmc.ncbi.nlm.nih.gov/articles/PMC2193232/,10.1084/jem.192.4.517,10952721,primary_study,J Exp Med 192(4):517–528; PMC2193232.1,2026-09-12,full_text,research/cytokine/snapshots/PMC2193232.xml,1cafaa4e24ae1789756440cdece1e9670fa0bc6c27f40f7adf9616f69512cc57,Homo sapiens,"Expanded T-cell clones and PHA blasts are separate contexts. Patients P1/P3/P4 were previously reported, so later publications must not count them again.",extracted,unavailable
C-S09,A single-cell cytokine dictionary of human peripheral blood,"[""Lukas Oesinghaus"",""Sören Becker"",""Larsen Vornholz"",""Efthymia Papalexi"",""Joey Pangallo"",""Amir Ali Moinfar"",""Jenni Liu"",""Alyssa La Fleur"",""Maiia Shulman"",""Simone Marrujo"",""Bryan Hariadi"",""Crina Curca"",""Alexa Suyama"",""Maria Nigos"",""Oliver Sanderson"",""Hoai Nguyen"",""Vuong K. Tran"",""Ajay A. Sapre"",""Olivia Kaplan"",""Sarah Schroeder"",""Alec Salvino"",""Guillermo Gallareta-Olivares"",""Ryan Koehler"",""Gary Geiss"",""Alexander B. Rosenberg"",""Charles M. Roco"",""Georg Seelig"",""Fabian J. Theis""]",2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12776526/,10.21203/rs.3.rs-8337240/v1,41510257,preprint,Research Square v1; PMC12776526.1,2026-09-12,full_text,research/cytokine/snapshots/PMC12776526.xml,b5eb7fa311846f14f30de12ff62393c3bb13203e3890632dadcc2bffd19430b0,Homo sapiens,"Duplicate preprint of C-S02, resolved by same title/authors, 12 donors, 9,697,974 cells, 90 cytokines, methods and Fig.1 findings. No independent assertion weight.",extracted,C-S02
G01,Innate Immune Activity Conditions the Effect of Regulatory Variants upon Monocyte Gene Expression,"[""Benjamin P Fairfax"",""Peter Humburg"",""Seiko Makino"",""Vivek Naranbhai"",""Daniel Wong"",""Evelyn Lau"",""Luke Jostins"",""Katharine Plant"",""Robert Andrews"",""Chris McGee"",""Julian C Knight""]",2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4064786/,10.1126/science.1246949,24604202,primary_study,2014 primary publication; exact publisher revision unavailable,2026-09-12T16:52:21.340521+00:00,full_text,research/genomic/snapshots/G01_fulltext.html,ca2b3158a5ede8d44f8def50e8c0ebe859f9744a1eb8f6fa8567d8da77f6ee47,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
