search_id,lane,query,database_name,searched_at,payload
MA-Q01,activation,human T cells CD28 AP-1 chromatin anergy,PubMed Entrez script,2026-09-13,"{""additional_queries"":[],""database"":""PubMed Entrez script"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""human T cells CD28 AP-1 chromatin anergy"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[],""screening_notes"":""Failed twice: requests dependency absent in system and bundled Python; no Entrez result set."",""search_id"":""MA-Q01"",""searched_at"":""2026-09-13""}"
MA-Q02,activation,human primary T cells CD28 AP-1 chromatin accessibility anergy CRISPR IL2 2019 2020,Public web ranked search,2026-09-13,"{""additional_queries"":[""human T cells STAT5 FOXP3 knockdown IL-2 regulatory suppression primary study"",""human T cells NFAT knockdown IL-2 secretion proliferation primary cells""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""human primary T cells CD28 AP-1 chromatin accessibility anergy CRISPR IL2 2019 2020"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S01"",""MA-S02"",""MA-S04"",""MA-S05""],""screening_notes"":""Broad human mechanistic discovery. Returned results aggregated across three query strings; appearances attributed to batch, not individual rank."",""search_id"":""MA-Q02"",""searched_at"":""2026-09-13""}"
MA-Q03,activation,"""AP-1 activity induced by co-stimulation"" full text",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""Differentiating the roles of STAT5B and STAT5A\"" full text"",""\""human\"" \""AP-1\"" \""A-FOS\"" \""IL-2\"" chromatin 2019"",""\""Functional CRISPR dissection of gene networks controlling human regulatory T cell identity\""""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""AP-1 activity induced by co-stimulation\"" full text"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S01"",""MA-S02"",""MA-S03"",""MA-S06""],""screening_notes"":""Full-text discovery and primary citation chain; 2025 and other recent regulatory sources surfaced."",""search_id"":""MA-Q03"",""searched_at"":""2026-09-13""}"
MA-Q04,activation,"""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"" PMC",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""Fast and Efficient Genome Editing of Human\"" PMID"",""\""AP-1 activity induced by co-stimulation\"" correction retraction"",""\""Functional CRISPR dissection\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3\"" PMC"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S01"",""MA-S03"",""MA-S04"",""MA-S06""],""screening_notes"":""Metadata, access, and correction screening; exact individual originating query unavailable in aggregated tool result."",""search_id"":""MA-Q04"",""searched_at"":""2026-09-13""}"
MA-Q05,activation,"""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"" pubmed",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""Fast and Efficient Genome Editing of Human FOXP3\"" pubmed"",""\""AP-1 activity induced by co-stimulation\"" correction retraction"",""\""Functional CRISPR dissection of gene networks\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3\"" pubmed"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S01"",""MA-S03"",""MA-S04"",""MA-S06""],""screening_notes"":""Resolved PubMed identifiers; no matching correction found for AP1/2020 Treg paper in bounded results."",""search_id"":""MA-Q05"",""searched_at"":""2026-09-13""}"
MA-Q06,activation,"""s41586-025-08795-5"" ""Methods"" ""Human""",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""s41586-025-08795-5\"" \""HDAC3\"" \""inhibitor\"""",""\""s41586-025-08795-5\"" \""suppression\"" \""CellTrace\"""",""\""s41586-025-08795-5\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""s41586-025-08795-5\"" \""Methods\"" \""Human\"""",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S06""],""screening_notes"":""Located author correction10.1038/s41586-025-09356-6; competing-interest addition, no biological-results correction stated. Full wet-lab Methods not retrieved."",""search_id"":""MA-Q06"",""searched_at"":""2026-09-13""}"
MA-Q07,activation,"""Differentiating the roles of STAT5B and STAT5A"" correction retraction",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""Fast and Efficient Genome Editing\"" correction retraction"",""\""IL-2 regulates FOXP3 expression\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""Differentiating the roles of STAT5B and STAT5A\"" correction retraction"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S02"",""MA-S04"",""MA-S05"",""MA-S07""],""screening_notes"":""Correction check plus additional contrary/feedback evidence discovery. No matching correction for selected older papers surfaced."",""search_id"":""MA-Q07"",""searched_at"":""2026-09-13""}"
MA-Q08,activation,"""Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity"" correction retraction",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity\"" correction retraction"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S04"",""MA-S07""],""screening_notes"":""No matching correction surfaced;2009 conference abstract detected and excluded from independent evidence."",""search_id"":""MA-Q08"",""searched_at"":""2026-09-13""}"
MA-Q09,activation,"""10.1084/jem.20182009"" correction retraction",Public web ranked search,2026-09-13,"{""additional_queries"":[""\""10.1016/j.clim.2013.04.014\"" correction retraction"",""\""10.1038/s41590-020-0784-4\"" correction retraction"",""\""10.3389/fimmu.2021.655122\"" correction retraction""],""database"":""Public web ranked search"",""lane"":""activation"",""pack_path"":""research/mechanisms_activation/pack.json"",""query"":""\""10.1084/jem.20182009\"" correction retraction"",""query_attribution"":""Tool returned a combined result set for the separately submitted query strings in this batch."",""result_source_ids"":[""MA-S01"",""MA-S02"",""MA-S03"",""MA-S04""],""screening_notes"":""No matching correction/retraction notice in returned bounded set. Public source-site article notices also inspected; not exhaustive registry clearance."",""search_id"":""MA-Q09"",""searched_at"":""2026-09-13""}"
MGQ01,genetic,human primary immune cells enhancer ETS2 macrophages rs2836882 2024 CRISPR protein,public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""human primary immune cells enhancer ETS2 macrophages rs2836882 2024 CRISPR protein"",""result_source_ids"":[""MG05""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ01"",""searched_at"":""2026-09-13""}"
