category,description,gap_id,next_action,record_id,status
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_bf185450a94a1e35d2,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE17156,open
source_file_or_cohort_mapping,Exact cross-accession subject overlap requires primary sample mapping.,GAP_74fe24ab71881f6bf5,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE17156,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_52749540fcc461db86,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE30550,open
source_file_or_cohort_mapping,Exact cross-accession subject overlap requires primary sample mapping.,GAP_8bc6402487fbb33bc4,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE30550,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_690e8f9485b174c292,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE52428,open
source_file_or_cohort_mapping,Exact cross-accession subject overlap requires primary sample mapping.,GAP_558954df7bc851347d,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE52428,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_adb92ee594a9572f89,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE61754,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_98f809741ebe8bac1d,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE73072,open
source_file_or_cohort_mapping,Exact cross-accession subject overlap requires primary sample mapping.,GAP_9ae4ce1854cc9910b2,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE73072,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_d6ea40dfe68cdd6c6f,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE90732,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_43b9f4e632b978a12a,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE118223,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_0795b3f2eefff0be59,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE175551,open
source_file_or_cohort_mapping,GEO series links a BioProject but no SRA relation; raw sequence-read access must not be inferred from the presence of gene counts.,GAP_bc64796bb1bc79cb9c,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE175551,open
source_file_or_cohort_mapping,Representative sample is labelled SRA but provides only a BioSample relation; actual raw experiment/run accession remains unresolved.,GAP_07d3262d2f15f0800b,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE175551,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_44872c3449361331db,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE299820,open
source_file_or_cohort_mapping,"Linked primary paper additionally reports single-cell RNA, ATAC and methylation; these repositories require follow-up and are not assumed to reside in this bulk accession.",GAP_9f1d6b8bc32c94eefb,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE299820,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_25cb4928c4554b36c6,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE111368,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_1a465187372921de17,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE68310,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_aff85a9f6fe138d383,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE194378,open
source_file_or_cohort_mapping,Subject/sample crosswalk and archive member inventory not exhaustively expanded; no raw binary or patient matrix downloads in this catalogue pass.,GAP_b2dbe0803d24fd76ca,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE117580,open
source_file_or_cohort_mapping,Public catalogue listing verified; processed matrix payload not downloaded. Exact participant overlap must use SDRF identifiers.,GAP_3f8553865683d52779,"Inspect the named original repository, sample manifest or supplementary table.",FLU:E-MTAB-13038,open
source_file_or_cohort_mapping,Public catalogue listing verified; processed matrix payload not downloaded. Exact participant overlap must use SDRF identifiers.,GAP_a3e86fb2347b9cbd4c,"Inspect the named original repository, sample manifest or supplementary table.",FLU:E-MTAB-13041,open
source_file_or_cohort_mapping,DAC approval not requested; participant-level records not downloaded.,GAP_f8fe2975ed3d09b68e,"Inspect the named original repository, sample manifest or supplementary table.",FLU:EGAD50000000956,open
source_file_or_cohort_mapping,Validate current repository transport and enumerate deposited FCS/raw versus normalized files. Clinical/antibody/viral-load participant-level supplement inventory not yet expanded.,GAP_c8f17cb2d9fb111720,"Inspect the named original repository, sample manifest or supplementary table.",FLU:FR-FCM-Z2NZ,open
source_file_or_cohort_mapping,Full deposited FCS and participant-level clinical raw files require a data request.,GAP_9c2760958072faf28c,"Inspect the named original repository, sample manifest or supplementary table.",FLU:MCILWAIN2021_CHALLENGE,open
source_file_or_cohort_mapping,Raw mass-spectrometer files and stable repository accession unresolved.,GAP_28ef3a44176aac73e7,"Inspect the named original repository, sample manifest or supplementary table.",FLU:BURKE2017_NPL,open
source_file_or_cohort_mapping,Repository and supplementary table field inventories pending.,GAP_6006ef3da8d5991023,"Inspect the named original repository, sample manifest or supplementary table.",FLU:FLU_DAY_PREDICTION2026,open
source_file_or_cohort_mapping,Full raw cytometry and clinical participant datasets not currently public; future request window explicitly limited to IPD meta-analysis.,GAP_9ce0e49652300cf33d,"Inspect the named original repository, sample manifest or supplementary table.",FLU:IMPERIAL_H3N2_MULTIMODAL2026,open
source_file_or_cohort_mapping,Array archive members and sample-to-clinical participant crosswalk not expanded.,GAP_87dad843ebe5de1453,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE253685,open
source_file_or_cohort_mapping,Array archive members and sample-to-clinical participant crosswalk not expanded.,GAP_983b046fd6b450de11,"Inspect the named original repository, sample manifest or supplementary table.",FLU:GSE253686,open
source_file_or_cohort_mapping,"Determine whether original FASTQ or only processed clonotype tables can be obtained, plus registration/license requirements.",GAP_50067a89288bb8191a,"Inspect the named original repository, sample manifest or supplementary table.",FLU:KAW2025STM,open
source_file_or_cohort_mapping,Enumerate supplement columns and participant crosswalk; original instrument raw files are not confirmed.,GAP_4ba06d737dbe3efa54,"Inspect the named original repository, sample manifest or supplementary table.",FLU:WALTERS2025_IMMUNE,open
source_file_or_cohort_mapping,"Distinguish inoculum, human post-challenge samples, natural infection, passage controls, amplicon/resequencing replicates; repository run counts are not participant counts.",GAP_206eab9fc3d4d11464,"Inspect the named original repository, sample manifest or supplementary table.",FLU:SRP091397,open
source_file_or_cohort_mapping,"Distinguish inoculum, human post-challenge samples, natural infection, passage controls, amplicon/resequencing replicates; repository run counts are not participant counts.",GAP_ac233c7efdfcf8e17b,"Inspect the named original repository, sample manifest or supplementary table.",FLU:PRJNA528931,open
source_file_or_cohort_mapping,Crosswalk to other Imperial datasets and per-assay participant/raw cytokine/cytometry files pending.,GAP_321d0dce68a8b91083,"Inspect the named original repository, sample manifest or supplementary table.",FLU:E-MTAB-15137,open
source_file_or_cohort_mapping,Individual controlled-file manifest not retrieved; no access application sent.,GAP_d9dff6fb63bc4bb235,"Inspect the named original repository, sample manifest or supplementary table.",FLU:EGAD50000002407,open
source_file_or_cohort_mapping,"Retrieve complete calibrated concentration tables, detection limits, and instrument raw files if publicly deposited or available upon request.",GAP_3ceb00cf1b21b70f99,"Inspect the named original repository, sample manifest or supplementary table.",FLU:MCCLAIN2016_CYTOKINES,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: A single-cell cytokine dictionary of human peripheral blood,GAP_495d9d720691759b13,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Interleukin 10(IL-10) inhibits cytokine synthesis by human monocytes: an autoregulatory role of IL-10 produced by monocytes,GAP_00a028ef9d8b916b39,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S04,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Activated signal transducer and activator of transcription-3 (STAT3) is a poor regulator of tumour necrosis factor-α production by human monocytes,GAP_e3b79d15bb17143ff6,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S05,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Transpresentation of interleukin-15 by IL-15/IL-15Rα mRNA-engineered human dendritic cells boosts antitumoral natural killer cell activity,GAP_2252981e3a4f87355f,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S06,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Distinct roles of IL-12 and IL-15 in human natural killer cell activation by dendritic cells from secondary lymphoid organs,GAP_33e9e0126c6f2b3c6b,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S07,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Residual Type 1 Immunity in Patients Genetically Deficient for Interleukin 12 Receptor β1 (IL-12Rβ1): Evidence for an IL-12Rβ1–Independent Pathway of IL-12 Responsiveness in Human T Cells,GAP_dc6dacafa545ab94c6,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S08,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: A single-cell cytokine dictionary of human peripheral blood,GAP_cd2575bfe61c1d0148,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:C-S09,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Discovery of stimulation-responsive immune enhancers with CRISPR activation,GAP_0b95ccb305064a947f,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:G02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Human epistatic interaction controls IL7R splicing and increases Multiple Sclerosis risk,GAP_97b8b69a9de99f8468,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:G03,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Single-cell eQTL mapping identifies cell type-specific genetic control of autoimmune disease,GAP_4603a124bc0381f5f3,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:G06,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,GAP_d077026d36fadd1b88,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:G08,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,GAP_bc9d2b6924d3bf3ae0,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:G10,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Social network architecture of human immune cells unveiled by quantitative proteomics,GAP_de648cf029138ebb07,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S01,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum,GAP_212fe012149486d382,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Plasma proteomic associations with genetics and health in the UK Biobank,GAP_07bc1132b588076dda,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S05,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Large-scale plasma proteomics comparisons through genetics and disease associations,GAP_d258051de9182759cd,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S06,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Comparative studies of 2168 plasma proteins measured by two affinity-based platforms in 4000 Chinese adults,GAP_172e8e0039c64226e7,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S07,open
