gap_id,lane,description,status
cytokine_1,cytokine,"{""detail"":""Bounded pilot, not an exhaustive systematic review. Many priority cytokines have no narrow extracted human assertions: CSF2, IL16, IL17A, IL5, IL7, LTA, VEGF identity, IL13, IL1A, IL2, IL6, CCL11, CCL26, CCL13, CCL22, CCL3, CCL4, CCL17. Anchor inclusion does not certify coverage."",""gap_id"":""C-GAP01"",""topic"":""Coverage""}",open
cytokine_2,cytokine,"{""detail"":""C-S05 and C-S07 remain needs_full_text; NCBI API supplied only abstracts and browser full text returned CAPTCHA. C-S04 OCR contains errors; numeric results deliberately not copied."",""gap_id"":""C-GAP02"",""topic"":""Access""}",open
cytokine_3,cytokine,"{""detail"":""Human PBMC 24h versus mouse lymph-node 4h, different doses/tissues/species; no direct pooled prior or cross-species path. A549 findings are a separate transformed-cell context."",""gap_id"":""C-GAP03"",""topic"":""Transportability""}",open
cytokine_4,cytokine,"{""detail"":""No inferred receptor availability from RNA; no secreted cytokine from RNA; no proliferation/cytotoxicity from gene programs. HCD and CytoSig communication predictions not entered as causal edges."",""gap_id"":""C-GAP04"",""topic"":""Mechanism""}",open
cytokine_5,cytokine,"{""detail"":""bioRxiv published=NA is repository linkage status, not proof no journal publication exists. Exact-title search plus two preprint records support preprint classification as of retrieval."",""gap_id"":""C-GAP05"",""topic"":""Versions""}",open
cytokine_6,cytokine,"{""detail"":""Older assays have unavailable independent donor totals. P1/P3/P4 patient data overlap historical publications. CytoSig reused primary studies require accession-level deduplication before expansion."",""gap_id"":""C-GAP06"",""topic"":""Publication and cohort bias""}",open
cytokine_7,cytokine,"{""detail"":""IL12 perturbation reagent label retained as IL12; do not equate unknown clinical IL12 assay channel with IL12p70. VEGF and high-range CXCL8 assay definitions require user/platform documentation."",""gap_id"":""C-GAP07"",""topic"":""IL12 and VEGF identities""}",open
cytokine_8,cytokine,"{""detail"":""No receptor-binding biochemistry, phosphoproteomic dose/time grids, ancestry stratification or full priority-set citation chaining completed in this pilot."",""gap_id"":""C-GAP08"",""topic"":""Missing scope""}",open
genomic_1,genomic,"{""description"":""This is a purposive 10-publication pilot, not exhaustive systematic search. No independent database-wide screening, full inclusion/exclusion ledger, full citation chaining, or search saturation is claimed."",""gap_id"":""G-GAP01""}",open
genomic_10,genomic,"{""description"":""No source-to-target cytokine pathway is proven by these genomic assertions. Reporter, transformed-line, primary-cell, resting/stimulated, timepoint, RNA/protein and species contexts must pass compatibility checks before assembly."",""gap_id"":""G-GAP10""}",open
genomic_2,genomic,"{""description"":""OneK1K is abstract-level and contributes cohort/source context only. Obtain full methods, ancestry and variant-level summary statistics before any molecule-specific assertions or causal-MR interpretation."",""gap_id"":""G-GAP02""}",open
