candidate_id,query_id,title,doi,decision,reason,lane,payload
MA-C01,MA-Q02,AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation,10.1084/jem.20182009,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C01"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1084/jem.20182009"",""lane"":""activation"",""pmid"":""31653690"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S01"",""title"":""AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation"",""unique_paper_id"":""10.1084/jem.20182009"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7037242/""}"
MA-C02,MA-Q02,Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells,10.1016/j.clim.2013.04.014,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C02"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1016/j.clim.2013.04.014"",""lane"":""activation"",""pmid"":""23773921"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S02"",""title"":""Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells"",""unique_paper_id"":""10.1016/j.clim.2013.04.014"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4169138/""}"
MA-C03,MA-Q03,Functional CRISPR dissection of gene networks controlling human regulatory T cell identity,10.1038/s41590-020-0784-4,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C03"",""citation_chain"":""S04 reference57 also points to S03; not independent evidence."",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1038/s41590-020-0784-4"",""lane"":""activation"",""pmid"":""32989329"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S03"",""title"":""Functional CRISPR dissection of gene networks controlling human regulatory T cell identity"",""unique_paper_id"":""10.1038/s41590-020-0784-4"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7577958/""}"
MA-C04,MA-Q02,Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,10.3389/fimmu.2021.655122,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C04"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.3389/fimmu.2021.655122"",""lane"":""activation"",""pmid"":""34408743"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S04"",""title"":""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells"",""unique_paper_id"":""10.3389/fimmu.2021.655122"",""url"":""https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.655122/full""}"
MA-C05,MA-Q02,IL-2 regulates FOXP3 expression in human CD4+CD25+ regulatory T cells through a STAT-dependent mechanism and induces the expansion of these cells in vivo,10.1182/blood-2006-02-004747,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C05"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1182/blood-2006-02-004747"",""lane"":""activation"",""pmid"":""16645171"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S05"",""title"":""IL-2 regulates FOXP3 expression in human CD4+CD25+ regulatory T cells through a STAT-dependent mechanism and induces the expansion of these cells in vivo"",""unique_paper_id"":""10.1182/blood-2006-02-004747"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC1895505/""}"
MA-C06,MA-Q03,Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3,10.1038/s41586-025-08795-5,await_full_text,"Full primary wet-lab Methods/Results inaccessible; public captions and analytical supplement retained, with2 needs_full_text assertions.",activation,"{""candidate_id"":""MA-C06"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41586-025-08795-5"",""lane"":""activation"",""pmid"":""40140585"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Full primary wet-lab Methods/Results inaccessible; public captions and analytical supplement retained, with2 needs_full_text assertions."",""screened_at"":""2026-09-13"",""source_id"":""MA-S06"",""title"":""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"",""unique_paper_id"":""10.1038/s41586-025-08795-5"",""url"":""https://www.nature.com/articles/s41586-025-08795-5""}"
MA-C07,MA-Q07,Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity,10.1371/journal.pone.0001581,include,Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations.,activation,"{""candidate_id"":""MA-C07"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1371/journal.pone.0001581"",""lane"":""activation"",""pmid"":""18324310"",""query_id"":""MA-Q07"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Primary human Methods and Results inspected; narrow molecular/function extraction with context and limitations."",""screened_at"":""2026-09-13"",""source_id"":""MA-S07"",""title"":""Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity"",""unique_paper_id"":""10.1371/journal.pone.0001581"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2265256/""}"
MA-C08,MA-Q02,Signal transducer and activator of transcription5 (STAT5) paralog dose governs T cell effector and regulatory functions,10.7554/eLife.08384,exclude,Mouse mutant Treg experiments in surfaced primary Results; do not substitute for human STAT5 causality.,activation,"{""candidate_id"":""MA-C08"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""10.7554/eLife.08384"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Mouse mutant Treg experiments in surfaced primary Results; do not substitute for human STAT5 causality."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Signal transducer and activator of transcription5 (STAT5) paralog dose governs T cell effector and regulatory functions"",""unique_paper_id"":""10.7554/eLife.08384"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4856466/""}"
MA-C09,MA-Q02,Genomic profiling of T-cell activation suggests increased sensitivity of memory T cells to CD28 costimulation,10.1038/s41435-020-00118-0,await_full_text,Potential naive/memory transportability contrast; no full Methods/Results inspection in this bounded lane.,activation,"{""candidate_id"":""MA-C09"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41435-020-00118-0"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential naive/memory transportability contrast; no full Methods/Results inspection in this bounded lane."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Genomic profiling of T-cell activation suggests increased sensitivity of memory T cells to CD28 costimulation"",""unique_paper_id"":""10.1038/s41435-020-00118-0"",""url"":""https://www.nature.com/articles/s41435-020-00118-0""}"
MA-C10,MA-Q02,Requirement for Transcription Factor NFAT in Interleukin-2 Expression,unavailable,await_full_text,Jurkat and primary-cell experiments mixed in snippet; primary-cell species/preparation unresolved. No human assertion extracted.,activation,"{""candidate_id"":""MA-C10"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Jurkat and primary-cell experiments mixed in snippet; primary-cell species/preparation unresolved. No human assertion extracted."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Requirement for Transcription Factor NFAT in Interleukin-2 Expression"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC84022/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC84022/""}"
