accession_or_record_id,dataset_id,eligibility,full_record_table,independent_cohort_count,modality,participant_count,processed_access_status,raw_access_evidence,raw_access_status,repository,repository_sample_count,review_status,scope,specimen,subset_rule,title,url
GSE17156,FLU:GSE17156,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,113,catalogue_curation_pending_review,Influenza challenge search,whole blood,Include influenza A H3N2 subset; exclude RSV and rhinovirus participants.,Gene expression signatures of symptomatic respiratory viral infection in adults,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17156
GSE30550,FLU:GSE30550,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",17,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,268,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Temporal expression data from 17 health human subjects before and after they were challenged with live influenza (H3N2/Wisconsin) viruses,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30550
GSE52428,FLU:GSE52428,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,649,catalogue_curation_pending_review,Influenza challenge search,whole blood,Separate H1N1/H3N2 deliberate challenge participants from naturally acquired emergency-department illness validation.,Host gene expression signatures of influenza A H1N1 and H3N2 virus infection in adults,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52428
GSE61754,FLU:GSE61754,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",22,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,88,catalogue_curation_pending_review,Influenza challenge search,whole blood,11 vaccinated and 11 unvaccinated volunteers were challenged; preserve vaccination arm.,Transcriptomic profiling facilitates classification of response to influenza challenge,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754
GSE73072,FLU:GSE73072,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",148,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,2886,catalogue_curation_pending_review,Influenza challenge search,whole blood,Include H3N2 DEE2/DEE5 and H1N1 DEE3/DEE4 only. Exclude RSV DEE1 and HRV UVA/DUKE from influenza analysis.,"Host gene expression signatures of H1N1, H3N2, HRV, RSV virus infection in adults",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE90732,FLU:GSE90732,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",21,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,108,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Correlates of self-reported symptom scores in a human H1N1 influenza challenge trial,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90732
GSE118223,FLU:GSE118223,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by array""]",,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,414,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Role of antibodies in peripheral blood leukocyte gene expression during influenza human challenge,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118223
GSE175551,FLU:GSE175551,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by high throughput sequencing""]",,public,See file-level classification; sequencing count matrices are derived data.,unverified,NCBI GEO,135,catalogue_curation_pending_review,Influenza challenge search,BAL and blood T cells (CD4/CD8 targeted),"Preserve trial, participant, specimen and visit identifiers.",BioVacSafe (Biomarkers for enhanced vaccine immunosafety) Influenza challenge,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175551
GSE299820,FLU:GSE299820,included_human_influenza_challenge,influenza_studies,,"[""Expression profiling by high throughput sequencing""]",114,public,Representative GEO sample GSM9046530 explicitly links SRA experiment SRX29176614; full run manifest not yet enumerated.,public,NCBI GEO,755,catalogue_curation_pending_review,Influenza challenge search,whole blood,45 placebo and 69 vaccinated participants; preserve arm and challenge time.,Innate immune epigenomic landscape following controlled human influenza virus infection,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299820
GSE111368,FLU:GSE111368,adjacent_excluded,influenza_studies,,"[""Expression profiling by array""]",,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,359,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Progression of whole blood transcriptional signatures from interferon-induced to neutrophil-associated patterns in patients with severe influenza,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111368
GSE68310,FLU:GSE68310,adjacent_excluded,influenza_studies,,"[""Expression profiling by array""]",,public,See file-level classification; sequencing count matrices are derived data.,public,NCBI GEO,880,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Host transcriptional response to influenza and other acute respiratory viral infections – a prospective cohort study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310
GSE194378,FLU:GSE194378,adjacent_excluded,influenza_studies,,"[""Expression profiling by high throughput sequencing""]",,public,See file-level classification; sequencing count matrices are derived data.,unverified,NCBI GEO,412,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Influenza vaccination reveals sex dimorphic imprints of prior mild COVID-19 [RNA-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378
GSE117580,FLU:GSE117580,adjacent_excluded,influenza_studies,,"[""Expression profiling by high throughput sequencing""]",,public,See file-level classification; sequencing count matrices are derived data.,unverified,NCBI GEO,96,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Inflammation induced by influenza virus impairs innate control of human pneumococcal carriage,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117580
E-MTAB-13038,FLU:E-MTAB-13038,included_human_influenza_challenge,influenza_studies,,"[""bulk RNA-seq""]",,public,Blood raw RNA-seq is controlled in EGAD50000000956; nasal raw-read repository not established from the inspected sources.,unverified,ArrayExpress / BioStudies,,catalogue_curation_pending_review,Influenza challenge search,nasal scrape,"Preserve trial, participant, specimen and visit identifiers.",RNA-Seq of healthy adult volunteers following experimental infection with Influenza A/Belgium/4217/2015 (H3N2),https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13038
