definition,definition_source,distinct_nonmissing_values,field,interpretation_caution,literal_header,missing_rows,nonmissing_rows,observed_storage_type,source_path,source_sha256,study_ID,table_id,units
Exported sample/row index; inspect uniqueness and relation to source sample accession per file.,Observed table keys; author alignment rule in dataset documentation,374,X,,X,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
GEO sample accession number (GSM).,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,374,geo_accession,,geo_accession,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
Subject identifier within one study (unique per participant); useful when aligning with antibody raw data.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,35,ID,,ID,0,374,integer_like_text,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
Study or cohort identifier,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,study_ID,,study_ID,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
unavailable,Observed file header; biological definition not supplied in common metadata dictionary,1,study_type,,study_type,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
"Sample source (e.g., whole blood, PBMC, nasal swab).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,tissue,,tissue,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
"Gene expression platform used (e.g., RNA-seq, microarray, scRNA-seq).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,platform,,platform,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
"Infectious agent studied (e.g., SARS-CoV-2, influenza).",data_dictionary/sources/hr_vilage/Meta_variable_description.csv,1,pathogen,,pathogen,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
Technical or experimental batch ID within one study,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,0,batch,,batch,374,0,all_missing_in_inspected_table,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
Sample title from GEO metadata.,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,374,title,,title,0,374,text_or_mixed,data_dictionary/sources/hr_vilage/meta/E_MTAB_12993_blood_meta.csv,430f9f873e32949e38e7dd4b1ca5bc8e8f00bc725973e0f710312eaa310ce062,E_MTAB_12993_blood,HF:meta/E_MTAB_12993_blood_meta.csv,not inferred; use source-specific assay/time documentation
